,group id,time,participant id,condition,meeting,date
86,11111,172.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
87,11111,174.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
88,11111,176.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
89,11111,178.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
90,11111,180.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
91,11111,182.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
92,11111,184.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
93,11111,186.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
94,11111,188.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
95,11111,190.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
96,11111,192.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
97,11111,194.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
98,11111,196.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
99,11111,198.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
100,11111,200.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
101,11111,202.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
102,11111,204.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
103,11111,206.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
104,11111,208.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
105,11111,210.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
106,11111,212.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
107,11111,214.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
108,11111,216.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
109,11111,218.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
110,11111,220.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
111,11111,222.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
112,11111,224.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
113,11111,226.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
114,11111,228.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
115,11111,230.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
116,11111,232.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
117,11111,234.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
118,11111,236.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
