,group id,time,participant id,condition,meeting,date
0,11111,0.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
1,11111,2.0,1112,Condition B,Meeting 2,2016-03-03 16:24:39
2,11111,4.0,11123,Condition B,Meeting 2,2016-03-03 16:24:39
3,11111,6.0,11123,Condition B,Meeting 2,2016-03-03 16:24:39
4,11111,8.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
5,11111,10.0,N/A,Condition B,Meeting 2,2016-03-03 16:24:39
6,11111,12.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
7,11111,14.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
8,11111,16.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
9,11111,18.0,11123,Condition B,Meeting 2,2016-03-03 16:24:39
10,11111,20.0,11123,Condition B,Meeting 2,2016-03-03 16:24:39
11,11111,22.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
12,11111,24.0,N/A,Condition B,Meeting 2,2016-03-03 16:24:39
13,11111,26.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
14,11111,28.0,N/A,Condition B,Meeting 2,2016-03-03 16:24:39
15,11111,30.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
16,11111,32.0,1112,Condition B,Meeting 2,2016-03-03 16:24:39
17,11111,34.0,1112,Condition B,Meeting 2,2016-03-03 16:24:39
18,11111,36.0,11123,Condition B,Meeting 2,2016-03-03 16:24:39
19,11111,38.0,111,Condition B,Meeting 2,2016-03-03 16:24:39
